movie_title,year,place,star_cast,rating,vote,link
The Shawshank Redemption,1994,1,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.233554176275351,,/title/tt0111161/
The Godfather,1972,2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155552262948378,,/title/tt0068646/
The Dark Knight,2008,3,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.984438055430239,,/title/tt0468569/
The Godfather: Part II,1974,4,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.983843105334309,,/title/tt0071562/
12 Angry Men,1957,5,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.946591607586011,,/title/tt0050083/
Schindler's List,1993,6,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.934732392116914,,/title/tt0108052/
The Lord of the Rings: The Return of the King,2003,7,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.919933498470819,,/title/tt0167260/
Pulp Fiction,1994,8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.851518293857456,,/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,2001,9,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.802997960302623,,/title/tt0120737/
" Il buono, il brutto, il cattivo",1966,1,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.794346805271283,,/title/tt0060196/
Forrest Gump,1994,11,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.767222061380613,,/title/tt0109830/
Fight Club,1999,12,"David Fincher (dir.), Brad Pitt, Edward Norton",8.750597119140698,,/title/tt0137523/
Inception,2010,13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732906998623394,,/title/tt1375666/
The Lord of the Rings: The Two Towers,2002,14,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.72696023966592,,/title/tt0167261/
The Empire Strikes Back,1980,15,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.701845406610367,,/title/tt0080684/
The Matrix,1999,16,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.671249677537922,,/title/tt0133093/
Goodfellas,1990,17,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.650639117882314,,/title/tt0099685/
One Flew Over the Cuckoo's Nest,1975,18,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.641845683341488,,/title/tt0073486/
Se7en,1995,19,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.603797642083054,,/title/tt0114369/
Shichinin no samurai,1954,20,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.599399496712516,,/title/tt0047478/
It's a Wonderful Life,1946,21,"Frank Capra (dir.), James Stewart, Donna Reed",8.597214642671076,,/title/tt0038650/
